PortfolioName,AssetTicker,Weight
USD Moderate ex-HFs,LHTRYIN,0.377776
USD Moderate ex-HFs,LHYIELD,0.1
USD Moderate ex-HFs,FRUS1GR,0.092889
USD Moderate ex-HFs,FRUS1VA,0.092889
USD Moderate ex-HFs,MSEMKF$,0.063333
USD Moderate ex-HFs,MSEXUKL,0.059111
USD Moderate ex-HFs,FRUSS2L,0.033778
USD Moderate ex-HFs,PE_BUYOUT,0.030556
USD Moderate ex-HFs,MSJPANL,0.029556
USD Moderate ex-HFs,MSPXJPL,0.029556
USD Moderate ex-HFs,PRIVATE_CREDIT,0.026667
USD Moderate ex-HFs,MSUTDKL,0.021111
USD Moderate ex-HFs,PA_REAL_ESTATE,0.017778
USD Moderate ex-HFs,PE_GROWTH,0.016667
USD Moderate ex-HFs,PE_VENTURE,0.008333
USD Moderate ex-HFs ex-RAs,LHTRYIN,0.377777
USD Moderate ex-HFs ex-RAs,LHYIELD,0.1
USD Moderate ex-HFs ex-RAs,FRUS1GR,0.092889
USD Moderate ex-HFs ex-RAs,FRUS1VA,0.092889
USD Moderate ex-HFs ex-RAs,MSEMKF$,0.063333
USD Moderate ex-HFs ex-RAs,MSEXUKL,0.059111
USD Moderate ex-HFs ex-RAs,PRIVATE_CREDIT,0.044444
USD Moderate ex-HFs ex-RAs,FRUSS2L,0.033778
USD Moderate ex-HFs ex-RAs,PE_BUYOUT,0.030556
USD Moderate ex-HFs ex-RAs,MSJPANL,0.029556
USD Moderate ex-HFs ex-RAs,MSPXJPL,0.029556
USD Moderate ex-HFs ex-RAs,MSUTDKL,0.021111
USD Moderate ex-HFs ex-RAs,PE_GROWTH,0.016667
USD Moderate ex-HFs ex-RAs,PE_VENTURE,0.008333
USD Moderate Full ex-RAs,LHTRYIN,0.34
USD Moderate Full ex-RAs,LHYIELD,0.09
USD Moderate Full ex-RAs,FRUS1GR,0.0836
USD Moderate Full ex-RAs,FRUS1VA,0.0836
USD Moderate Full ex-RAs,MSEMKF$,0.057
USD Moderate Full ex-RAs,MSEXUKL,0.0532
USD Moderate Full ex-RAs,CSTLNSH,0.04
USD Moderate Full ex-RAs,PRIVATE_CREDIT,0.04
USD Moderate Full ex-RAs,CSTEVDH,0.035
USD Moderate Full ex-RAs,FRUSS2L,0.0304
USD Moderate Full ex-RAs,PE_BUYOUT,0.0275
USD Moderate Full ex-RAs,MSJPANL,0.0266
USD Moderate Full ex-RAs,MSPXJPL,0.0266
USD Moderate Full ex-RAs,CSFBMTT,0.025
USD Moderate Full ex-RAs,MSUTDKL,0.019
USD Moderate Full ex-RAs,PE_GROWTH,0.015
USD Moderate Full ex-RAs,PE_VENTURE,0.0075
USD ModAgg Full,LHTRYIN,0.25
USD ModAgg Full,FRUS1GR,0.1034
USD ModAgg Full,FRUS1VA,0.1034
USD ModAgg Full,LHYIELD,0.08
USD ModAgg Full,MSEMKF$,0.0705
USD ModAgg Full,MSEXUKL,0.0658
USD ModAgg Full,CSTLNSH,0.044
USD ModAgg Full,CSTEVDH,0.0385
USD ModAgg Full,FRUSS2L,0.0376
USD ModAgg Full,PE_BUYOUT,0.033
USD ModAgg Full,MSJPANL,0.0329
USD ModAgg Full,MSPXJPL,0.0329
USD ModAgg Full,CSFBMTT,0.0275
USD ModAgg Full,MSUTDKL,0.0235
USD ModAgg Full,PE_GROWTH,0.018
USD ModAgg Full,PRIVATE_CREDIT,0.018
USD ModAgg Full,PA_REAL_ESTATE,0.012
USD ModAgg Full,PE_VENTURE,0.009
USD ModAgg Core,LHTRYIN,0.274724
USD ModAgg Core,FRUS1GR,0.113626
USD ModAgg Core,FRUS1VA,0.113626
USD ModAgg Core,LHYIELD,0.087912
USD ModAgg Core,MSEMKF$,0.077473
USD ModAgg Core,MSEXUKL,0.072308
USD ModAgg Core,CSTLNSH,0.048352
USD ModAgg Core,CSTEVDH,0.042308
USD ModAgg Core,FRUSS2L,0.041319
USD ModAgg Core,MSJPANL,0.036154
USD ModAgg Core,MSPXJPL,0.036154
USD ModAgg Core,CSFBMTT,0.03022
USD ModAgg Core,MSUTDKL,0.025824
USD ModAgg ex-Alts,LHTRYIN,0.3125
USD ModAgg ex-Alts,FRUS1GR,0.12925
USD ModAgg ex-Alts,FRUS1VA,0.12925
USD ModAgg ex-Alts,LHYIELD,0.1
USD ModAgg ex-Alts,MSEMKF$,0.088125
USD ModAgg ex-Alts,MSEXUKL,0.08225
USD ModAgg ex-Alts,FRUSS2L,0.047
USD ModAgg ex-Alts,MSJPANL,0.041125
USD ModAgg ex-Alts,MSPXJPL,0.041125
USD ModAgg ex-Alts,MSUTDKL,0.029375
USD ModAgg ex-HFs,LHTRYIN,0.280899
USD ModAgg ex-HFs,FRUS1GR,0.11618
USD ModAgg ex-HFs,FRUS1VA,0.11618
USD ModAgg ex-HFs,LHYIELD,0.089888
USD ModAgg ex-HFs,MSEMKF$,0.079213
USD ModAgg ex-HFs,MSEXUKL,0.073933
USD ModAgg ex-HFs,FRUSS2L,0.042247
USD ModAgg ex-HFs,PE_BUYOUT,0.037079
USD ModAgg ex-HFs,MSJPANL,0.036966
USD ModAgg ex-HFs,MSPXJPL,0.036966
USD ModAgg ex-HFs,MSUTDKL,0.026404
USD ModAgg ex-HFs,PE_GROWTH,0.020225
USD ModAgg ex-HFs,PRIVATE_CREDIT,0.020225
USD ModAgg ex-HFs,PA_REAL_ESTATE,0.013483
USD ModAgg ex-HFs,PE_VENTURE,0.010112
USD ModAgg ex-HFs ex-RAs,LHTRYIN,0.280899
USD ModAgg ex-HFs ex-RAs,FRUS1GR,0.11618
USD ModAgg ex-HFs ex-RAs,FRUS1VA,0.11618
USD ModAgg ex-HFs ex-RAs,LHYIELD,0.089888
USD ModAgg ex-HFs ex-RAs,MSEMKF$,0.079213
USD ModAgg ex-HFs ex-RAs,MSEXUKL,0.073933
USD ModAgg ex-HFs ex-RAs,FRUSS2L,0.042247
USD ModAgg ex-HFs ex-RAs,PE_BUYOUT,0.037079
USD ModAgg ex-HFs ex-RAs,MSJPANL,0.036966
USD ModAgg ex-HFs ex-RAs,MSPXJPL,0.036966
USD ModAgg ex-HFs ex-RAs,PRIVATE_CREDIT,0.033708
USD ModAgg ex-HFs ex-RAs,MSUTDKL,0.026404
USD ModAgg ex-HFs ex-RAs,PE_GROWTH,0.020225
USD ModAgg ex-HFs ex-RAs,PE_VENTURE,0.010112
USD ModAgg Full ex-RAs,LHTRYIN,0.25
USD ModAgg Full ex-RAs,FRUS1GR,0.1034
USD ModAgg Full ex-RAs,FRUS1VA,0.1034
USD ModAgg Full ex-RAs,LHYIELD,0.08
USD ModAgg Full ex-RAs,MSEMKF$,0.0705
USD ModAgg Full ex-RAs,MSEXUKL,0.0658
USD ModAgg Full ex-RAs,CSTLNSH,0.044
USD ModAgg Full ex-RAs,CSTEVDH,0.0385
USD ModAgg Full ex-RAs,FRUSS2L,0.0376
USD ModAgg Full ex-RAs,PE_BUYOUT,0.033
USD ModAgg Full ex-RAs,MSJPANL,0.0329
USD ModAgg Full ex-RAs,MSPXJPL,0.0329
USD ModAgg Full ex-RAs,PRIVATE_CREDIT,0.03
USD ModAgg Full ex-RAs,CSFBMTT,0.0275
USD ModAgg Full ex-RAs,MSUTDKL,0.0235
USD ModAgg Full ex-RAs,PE_GROWTH,0.018
USD ModAgg Full ex-RAs,PE_VENTURE,0.009
USD Agg Full,LHTRYIN,0.16
USD Agg Full,FRUS1GR,0.1254
USD Agg Full,FRUS1VA,0.1254
USD Agg Full,MSEMKF$,0.0855
USD Agg Full,MSEXUKL,0.0798
USD Agg Full,LHYIELD,0.07
USD Agg Full,FRUSS2L,0.0456
USD Agg Full,CSTLNSH,0.044
USD Agg Full,MSJPANL,0.0399
USD Agg Full,MSPXJPL,0.0399
USD Agg Full,CSTEVDH,0.0385
USD Agg Full,PE_BUYOUT,0.033
USD Agg Full,MSUTDKL,0.0285
USD Agg Full,CSFBMTT,0.0275
USD Agg Full,PE_GROWTH,0.018
USD Agg Full,PRIVATE_CREDIT,0.018
USD Agg Full,PA_REAL_ESTATE,0.012
USD Agg Full,PE_VENTURE,0.009
USD Agg Core,LHTRYIN,0.175824
USD Agg Core,FRUS1GR,0.137802
USD Agg Core,FRUS1VA,0.137802
USD Agg Core,MSEMKF$,0.093956
USD Agg Core,MSEXUKL,0.087692
USD Agg Core,LHYIELD,0.076923
USD Agg Core,FRUSS2L,0.05011
USD Agg Core,CSTLNSH,0.048352
USD Agg Core,MSJPANL,0.043846
USD Agg Core,MSPXJPL,0.043846
USD Agg Core,CSTEVDH,0.042308
USD Agg Core,MSUTDKL,0.031319
USD Agg Core,CSFBMTT,0.03022
USD Agg ex-Alts,LHTRYIN,0.2
USD Agg ex-Alts,FRUS1GR,0.15675
USD Agg ex-Alts,FRUS1VA,0.15675
USD Agg ex-Alts,MSEMKF$,0.106875
USD Agg ex-Alts,MSEXUKL,0.09975
USD Agg ex-Alts,LHYIELD,0.0875
USD Agg ex-Alts,FRUSS2L,0.057
USD Agg ex-Alts,MSJPANL,0.049875
USD Agg ex-Alts,MSPXJPL,0.049875
USD Agg ex-Alts,MSUTDKL,0.035625
USD Agg ex-HFs,LHTRYIN,0.179776
USD Agg ex-HFs,FRUS1GR,0.140899
USD Agg ex-HFs,FRUS1VA,0.140899
USD Agg ex-HFs,MSEMKF$,0.096067
USD Agg ex-HFs,MSEXUKL,0.089663
USD Agg ex-HFs,LHYIELD,0.078652
USD Agg ex-HFs,FRUSS2L,0.051236
USD Agg ex-HFs,MSJPANL,0.044831
USD Agg ex-HFs,MSPXJPL,0.044831
USD Agg ex-HFs,PE_BUYOUT,0.037079
USD Agg ex-HFs,MSUTDKL,0.032022
USD Agg ex-HFs,PE_GROWTH,0.020225
USD Agg ex-HFs,PRIVATE_CREDIT,0.020225
USD Agg ex-HFs,PA_REAL_ESTATE,0.013483
USD Agg ex-HFs,PE_VENTURE,0.010112
USD Agg ex-HFs ex-RAs,LHTRYIN,0.179776
USD Agg ex-HFs ex-RAs,FRUS1GR,0.140899
USD Agg ex-HFs ex-RAs,FRUS1VA,0.140899
USD Agg ex-HFs ex-RAs,MSEMKF$,0.096067
USD Agg ex-HFs ex-RAs,MSEXUKL,0.089663
USD Agg ex-HFs ex-RAs,LHYIELD,0.078652
USD Agg ex-HFs ex-RAs,FRUSS2L,0.051236
USD Agg ex-HFs ex-RAs,MSJPANL,0.044831
USD Agg ex-HFs ex-RAs,MSPXJPL,0.044831
USD Agg ex-HFs ex-RAs,PE_BUYOUT,0.037079
USD Agg ex-HFs ex-RAs,PRIVATE_CREDIT,0.033708
USD Agg ex-HFs ex-RAs,MSUTDKL,0.032022
USD Agg ex-HFs ex-RAs,PE_GROWTH,0.020225
USD Agg ex-HFs ex-RAs,PE_VENTURE,0.010112
USD Agg Full ex-RAs,LHTRYIN,0.16
USD Agg Full ex-RAs,FRUS1GR,0.1254
USD Agg Full ex-RAs,FRUS1VA,0.1254
USD Agg Full ex-RAs,MSEMKF$,0.0855
USD Agg Full ex-RAs,MSEXUKL,0.0798
USD Agg Full ex-RAs,LHYIELD,0.07
USD Agg Full ex-RAs,FRUSS2L,0.0456
USD Agg Full ex-RAs,CSTLNSH,0.044
USD Agg Full ex-RAs,MSJPANL,0.0399
USD Agg Full ex-RAs,MSPXJPL,0.0399
USD Agg Full ex-RAs,CSTEVDH,0.0385
USD Agg Full ex-RAs,PE_BUYOUT,0.033
USD Agg Full ex-RAs,PRIVATE_CREDIT,0.03
USD Agg Full ex-RAs,MSUTDKL,0.0285
USD Agg Full ex-RAs,CSFBMTT,0.0275
USD Agg Full ex-RAs,PE_GROWTH,0.018
USD Agg Full ex-RAs,PE_VENTURE,0.009
USD Higher Risk Full,FRUS1GR,0.1496
USD Higher Risk Full,FRUS1VA,0.1496
USD Higher Risk Full,MSEMKF$,0.102
USD Higher Risk Full,MSEXUKL,0.0952
USD Higher Risk Full,LHTRYIN,0.08
USD Higher Risk Full,FRUSS2L,0.0544
USD Higher Risk Full,LHYIELD,0.05
USD Higher Risk Full,MSJPANL,0.0476
USD Higher Risk Full,MSPXJPL,0.0476
USD Higher Risk Full,CSTLNSH,0.04
